Rank,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2022),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Areas
1,19434,MMWR Recommendations and Reports,journal,"10575987, 15458601","23,962",Q1,151,103,138,940,3469,133,"25,28","9,13",United States,Northern America,Centers for Disease Control and Prevention (CDC),1990-2022,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)",Environmental Science; Health Professions; Medicine; Social Sciences
2,110092,Morbidity and Mortality Weekly Report,journal,"01492195, 1545861X","16,786",Q1,247,218,931,1309,19129,747,"25,69",6,United States,Northern America,Department of Health and Human Services,1981-2022,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)",Environmental Science; Health Professions; Medicine; Social Sciences
3,16036,Administrative Science Quarterly,journal,"00018392, 19303815","16,555",Q1,201,32,90,3601,1352,85,"12,87","112,53",United States,Northern America,Johnson School at Cornell University,"1975-1987, 1989-1990, 1993-1994, 1996-2022",Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1),Arts and Humanities; Social Sciences
4,58530,National Vital Statistics Reports,journal,"15518922, 15518930","16,495",Q1,112,12,46,308,1190,45,19,"25,67",United States,Northern America,"Public Health Services, US Dept of Health and Human Services",1998-2022,Life-span and Life-course Studies (Q1),Social Sciences
5,71056,MMWR Surveillance Summaries,journal,"15458636, 15460738","15,178",Q1,114,11,114,500,2980,104,"26,42","45,45",United States,Northern America,Centers for Disease Control and Prevention (CDC),2002-2022,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)",Environmental Science; Health Professions; Medicine; Social Sciences
6,24204,Review of Economics and Statistics,journal,"00346535, 15309142","8,371",Q1,189,90,197,4125,1240,197,"5,52","45,83",United States,Northern America,MIT Press Journals,1978-2022,Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1),"Economics, Econometrics and Finance; Social Sciences"
7,15646,Annual Review of Political Science,book series,"10942939, 15451577","8,346",Q1,123,26,74,2989,1132,74,"10,63","114,96",United States,Northern America,Annual Reviews Inc.,1998-2022,Sociology and Political Science (Q1),Social Sciences
8,15557,American Political Science Review,journal,"15375943, 00030554","7,734",Q1,191,108,269,7667,2178,259,"6,83","70,99",United Kingdom,Western Europe,Cambridge University Press,1906-2022,Political Science and International Relations (Q1); Sociology and Political Science (Q1),Social Sciences
9,16929,American Sociological Review,journal,"00031224, 19398271","7,412",Q1,222,37,126,3821,1565,119,"7,65","103,27",United States,Northern America,American Sociological Association,1965-2022,Sociology and Political Science (Q1),Social Sciences
10,21100198409,Nature Climate Change,journal,"17586798, 1758678X","6,849",Q1,239,289,815,9408,11765,385,"14,87","32,55",United Kingdom,Western Europe,Nature Publishing Group,2011-2022,Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1),Environmental Science; Social Sciences
